simulation_index,country,age_testing_strategy,WHO_region,pandemic,time_of_pandemic,total_cost_pand_ngiv,total_cost_epid_ngiv,vaccs_pand_ngiv,vaccs_epid_ngiv,total_cost_pand_base,total_cost_epid_base,vaccs_pand_base,vaccs_epid_base,threshold_cost_pand,threshold_cost_epid,tc_diff,sens_a
1,AGO,2,AFR,1918,1,2886023078.4588866,146764941.19395295,11167849.076355861,11167849.076355861,3259660746.9268136,213797132.62935036,22390409.370859757,22390409.370859757,33.45654708559576,6.002247252545289,27.45429983305047,50% coverage
1,AGO,2,AFR,1918,2,2864892121.5863934,163233231.85303542,13378399.873301271,13378399.873301271,3283534334.9430943,268833463.45091957,29739430.840214662,29739430.840214662,31.29239799388626,7.893337962533638,23.399060031352622,50% coverage
1,AGO,2,AFR,1918,3,2849311657.268724,180176407.00174654,15644206.102377323,15644206.102377323,3328103073.5301385,342987139.32697767,37256372.51671016,37256372.51671016,30.60503122549993,10.407094566498335,20.19793665900159,50% coverage
1,AGO,2,AFR,1918,4,2854346818.739043,213959771.66571134,17908047.44205513,17908047.44205513,3387806552.7394195,430751978.9684681,44868450.773988545,44868450.773988545,29.78882738201839,12.105853974545742,17.682973407472648,50% coverage
1,AGO,2,AFR,1918,5,2845547163.8107367,232769401.99316645,20201396.316500068,20201396.316500068,3409411467.6720614,481311762.42026985,52624003.49145651,52624003.49145651,27.912145033300124,12.303226793491463,15.608918239808661,50% coverage
1,AGO,2,AFR,1918,6,2834353618.9560056,248170096.82882327,22526804.767234128,22526804.767234128,3429723484.885894,530928839.1811261,60531028.84447864,60531028.84447864,26.429396982028738,12.55210160846173,13.877295373567009,50% coverage
1,AGO,2,AFR,1918,7,2824750228.565819,264093438.83328208,24886343.158545267,24886343.158545267,3477919019.412757,607637697.6354614,68597118.34735207,68597118.34735207,26.246073466308303,13.804529521012249,12.441543945296054,50% coverage
1,AGO,2,AFR,1918,8,2816285440.538074,281092047.26811856,27281980.178140335,27281980.178140335,3509440352.9484024,668074067.6815976,76829615.83667327,76829615.83667327,25.407060187138402,14.1845283182028,11.222531868935603,50% coverage
1,AGO,2,AFR,1918,9,2805797143.1346626,295819452.2729915,29747696.07164118,29747696.07164118,3521193166.401968,708707515.600343,85281732.30248006,85281732.30248006,24.048787561376916,13.879665246444494,10.169122314932421,50% coverage
1,AGO,2,AFR,1918,10,2795206203.61575,310160160.1039829,32221626.901829097,32221626.901829097,3532060776.916463,748617810.6073235,93869185.8288895,93869185.8288895,22.86832305351052,13.607557800827587,9.260765252682932,50% coverage
1,AGO,2,AFR,1918,11,2783853091.6543403,324313355.9896481,34736656.395192176,34736656.395192176,3552658966.7773094,798595580.1596495,102643778.35570775,102643778.35570775,22.132408668710493,13.653652175793344,8.47875649291715,50% coverage
1,AGO,2,AFR,1918,12,2772328954.7215457,338297848.8135673,37294859.49993248,37294859.49993248,3564875704.502525,840152516.788576,111612352.81368954,111612352.81368954,21.250830822473375,13.456403233692763,7.7944275887806125,50% coverage
1,AGO,2,AFR,1918,13,2760559268.270481,352106598.2055208,39897855.06691078,39897855.06691078,3591061829.792296,895718881.6983691,120781531.4297,120781531.4297,20.815719545048694,13.625100461696055,7.190619083352638,50% coverage
1,AGO,2,AFR,1918,14,2748740574.3935776,365927938.6811066,42581941.827500515,42581941.827500515,3602539740.9871244,936588817.0327767,130209209.34211048,130209209.34211048,20.050733478813346,13.401476162440355,6.6492573163729904,50% coverage
1,AGO,2,AFR,1918,15,2736871370.755851,365927938.6811066,45279750.77316025,42581941.827500515,3611367990.148597,936588817.0327767,139800225.5741635,130209209.34211048,19.313194186375853,12.603003961098025,6.710190225277827,50% coverage
1,AGO,2,AFR,1918,16,2724441278.203859,392829742.92822367,48026477.03707782,48026477.03707782,3626396214.752802,1019140986.7347732,149611185.63334358,149611185.63334358,18.780368500746118,13.040957456092798,5.73941104465332,50% coverage
1,AGO,2,AFR,1918,17,2712676824.7008076,406819021.31759477,50824015.388966806,50824015.388966806,3655191401.923428,1077179469.718883,159648717.96676826,159648717.96676826,18.54466968045243,13.18983640452018,5.354833275932249,50% coverage
1,AGO,2,AFR,1918,18,2700022586.420759,419866008.1003664,53673801.349241726,53673801.349241726,3667715031.0362244,1118839207.1145835,169919312.5824651,169919312.5824651,18.029139362031344,13.022614039690927,5.006525322340417,50% coverage
1,AGO,2,AFR,1918,19,2687296019.891246,432903400.2802919,56577243.741650775,56577243.741650775,3686898518.5625353,1167433567.1112914,180429480.88657138,180429480.88657138,17.667924991817987,12.982784565912963,4.685140425905024,50% coverage
1,AGO,2,AFR,1918,20,2687216509.7448335,458214781.4156568,59574411.48973728,59574411.48973728,3731011849.2943435,1239988443.658881,191244637.5024772,191244637.5024772,17.520866987151383,13.12264179693824,4.398225190213143,50% coverage
1,AGO,2,AFR,1918,21,2680107350.907166,476224701.65610784,62589971.80255039,62589971.80255039,3739357660.0634565,1276905612.7678099,202254806.29942203,202254806.29942203,16.923642536505003,12.792479179213757,4.131163357291246,50% coverage
1,AGO,2,AFR,1918,22,2667208066.701222,488798969.70755947,65662831.006842606,65662831.006842606,3747438445.256762,1313702475.2090359,213524118.17998168,213524118.17998168,16.45116974080772,12.56271611888794,3.8884536219197816,50% coverage
1,AGO,2,AFR,1918,23,2654494171.926233,501176965.21498215,68794843.77296926,68794843.77296926,3763716320.0102363,1358111290.957937,225059484.21565783,225059484.21565783,16.123623330617068,12.456374326118608,3.6672490044984603,50% coverage
1,AGO,2,AFR,1918,24,2641745186.7892976,513410474.9130007,71987379.94622251,71987379.94622251,3779850722.269102,1402293946.4781249,236867732.2642909,236867732.2642909,15.809792443203452,12.34776807030838,3.4620243728950726,50% coverage
1,AGO,2,AFR,1918,25,2629069557.693872,525516970.55663675,75241803.90806709,75241803.90806709,3787777343.0462956,1438025587.998429,248955782.98708135,248955782.98708135,15.399787420941832,12.127681289469418,3.2721061314724142,50% coverage
1,AGO,2,AFR,1918,26,2616632529.4450855,537780941.6677366,78602814.83048499,78602814.83048499,3795911360.1652274,1474034918.0978348,261398374.8640472,261398374.8640472,15.003010175441903,11.911201633799319,3.0918085416425836,50% coverage
1,AGO,2,AFR,1918,27,2605230300.8236213,550348059.7170274,81985842.7353085,81985842.7353085,3828886168.1446314,1533907286.1165588,274068550.4195084,274068550.4195084,14.925209359274213,11.996695936577183,2.92851342269703,50% coverage
