country,iso3c,WHO_region,income_g,year,model_age_group,vacc_scenario,doses,pop,cluster_code,hemisphere,intro_year,vacc_used
Afghanistan,AFG,EMRO,Low income,2025,1,0,0,6897832.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2025,2,0,0,14758320.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2025,3,0,0,27979524.935260065,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2025,4,0,0,1063473.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2026,1,0,0,7011466,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2026,2,0,0,15079439,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2026,3,0,0,28907313.35835101,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2026,4,0,0,1104801,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2027,1,0,0,7118900,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2027,2,0,0,15397857.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2027,3,0,0,29856952.985754706,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2027,4,0,0,1148210.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2028,1,0,0,7215020,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2028,2,0,0,15718191,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2028,3,0,0,30816340.46444217,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2028,4,0,0,1193677,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2029,1,0,0,7300603.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2029,2,0,0,16042836,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2029,3,0,0,31827586.884160366,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2029,4,0,0,1243200.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2030,1,0,0,7383196,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2030,2,0,0,16368078,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2030,3,0,0,32909909.128520433,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2030,4,0,0,1297570,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2031,1,0,0,7468151,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2031,2,0,0,16684406.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2031,3,0,0,34028965.10105707,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2031,4,0,0,1355783.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2032,1,0,0,7550042.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2032,2,0,0,16990719.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2032,3,0,0,35153680.17895436,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2032,4,0,0,1417137,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2033,1,0,0,7627612,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2033,2,0,0,17291813,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2033,3,0,0,36290490.45709632,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2033,4,0,0,1482097.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2034,1,0,0,7706516.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2034,2,0,0,17578151,TUR,NH,2010,0
