"","country","iso3c","WHO_region","income_g","year","doses","pop_name","vacc_scenario"
"1","China","CHN","WPRO","Upper middle income",2023,16251887.26,"children","0"
"2","Uzbekistan","UZB","EURO","Lower middle income",2023,9502857.375,"children","0"
"3","Mexico","MEX","AMRO","Upper middle income",2023,8924869.65535,"children","0"
"4","Peru","PER","AMRO","Upper middle income",2023,2297024.95,"children","0"
"5","Cuba","CUB","AMRO","Upper middle income",2023,1744850.675,"children","0"
"6","Kenya","KEN","AFRO","Lower middle income",2023,1407339.2,"children","0"
"7","Korea, Republic of","KOR","WPRO","High income",2023,5480437.6379,"children","0"
"8","Colombia","COL","AMRO","Upper middle income",2023,2344788.93,"children","0"
"9","Argentina","ARG","AMRO","Upper middle income",2023,1903985.7399,"children","0"
"10","El Salvador","SLV","AMRO","Upper middle income",2023,1098730.575,"children","0"
"11","Canada","CAN","AMRO","High income",2023,2187956.7,"children","0"
"12","Kazakhstan","KAZ","EURO","Upper middle income",2023,659035.0624,"children","0"
"13","Israel","ISR","EURO","High income",2023,540136.17,"children","0"
"14","Iraq","IRQ","EMRO","Upper middle income",2023,431835.769365921,"children","0"
"15","Honduras","HND","AMRO","Lower middle income",2023,564936.0705,"children","0"
"16","Bolivia","BOL","AMRO","Lower middle income",2023,763191.7829,"children","0"
"17","Egypt","EGY","EMRO","Lower middle income",2023,220290.450649067,"children","0"
"18","Thailand","THA","SEARO","Upper middle income",2023,521191.02,"children","0"
"19","Bhutan","BTN","SEARO","Lower middle income",2023,171509.55165,"children","0"
"20","Austria","AUT","EURO","High income",2023,164647.424181397,"children","0"
"21","Guatemala","GTM","AMRO","Upper middle income",2023,112257.134875,"children","0"
"22","Dominican Republic","DOM","AMRO","Upper middle income",2023,102000.05,"children","0"
"23","Tunisia","TUN","EMRO","Lower middle income",2023,85170.8246735802,"children","0"
"24","United Arab Emirates","ARE","EMRO","High income",2023,107823.581777073,"children","0"
"25","Serbia","SRB","EURO","Upper middle income",2023,132699.816457176,"children","0"
"26","Italy","ITA","EURO","High income",2023,2172825.50355797,"children","0"
"27","Brunei Darussalam","BRN","WPRO","High income",2023,80342.0852,"children","0"
"28","Turkmenistan","TKM","EURO","Upper middle income",2023,64632.9818887862,"children","0"
"29","Iran, Islamic Republic of","IRN","EMRO","Lower middle income",2023,37474.0477072559,"children","0"
"30","Poland","POL","EURO","High income",2023,42378.273,"children","0"
"31","Paraguay","PRY","AMRO","Upper middle income",2023,163023.36,"children","0"
"32","Latvia","LVA","EURO","High income",2023,27536.2578,"children","0"
"33","Ecuador","ECU","AMRO","Upper middle income",2023,1235286.8,"children","0"
"34","Georgia","GEO","EURO","Upper middle income",2023,29543.1910173328,"children","0"
"35","Kyrgyzstan","KGZ","EURO","Lower middle income",2023,26736.16,"children","0"
"36","Trinidad and Tobago","TTO","AMRO","High income",2023,25055.6787112832,"children","0"
"37","Belize","BLZ","AMRO","Upper middle income",2023,25016.6,"children","0"
"38","Romania","ROU","EURO","High income",2023,26582.9184,"children","0"
"39","Malaysia","MYS","WPRO","Upper middle income",2023,16832.5733201909,"children","0"
"40","Bahrain","BHR","EMRO","High income",2023,16068.0125101241,"children","0"
"41","Switzerland","CHE","EURO","High income",2023,22692.0898016054,"children","0"
