,vacc_type,country_type,price,midpoint,lower,upper
,0,USA,$0,0,0,0
,A.1,USA,$80 - 90,85,80,90
,A.2,USA,$24,24,24,24
,B.1,USA,$150 - 220,185,150,220
,B.2,USA,$150 - 220,185,150,220
,C,USA,$250 - 750,500,250,750
,0,hics,$0,0,0,0
,A.1,hics,$25 - 30,27.5,25,30
,A.2,hics,$10.50,10.5,10.5,10.5
,B.1,hics,$40 - 60,50,40,60
,B.2,hics,$40 - 60,50,40,60
,C,hics,$80 - 200,140,80,200
,0,umics,$0,0,0,0
,A.1,umics,$16 - 18,17,16,18
,A.2,umics,$7.50,7.5,7.5,7.5
,B.1,umics,$20 - 30,25,20,30
,B.2,umics,$20 - 30,25,20,30
,C,umics,$35 - 105,70,35,105
,0,lmic_self_proc,$0,0,0,0
,A.1,lmic_self_proc,$5.75 – 6,5.875,5.75,6
,A.2,lmic_self_proc,$4.50,4.5,4.5,4.5
,B.1,lmic_self_proc,$8.25 - 11,9.625,8.25,11
,B.2,lmic_self_proc,$8.25 - 11,9.625,8.25,11
,C,lmic_self_proc,$11 – 25,18,11,25
,0,lmic_un_proc,$0,0,0,0
,A.1,lmic_un_proc,$4.50 - 5.50,5,4.5,5.5
,A.2,lmic_un_proc,$4.50,4.5,4.5,4.5
,B.1,lmic_un_proc,$5.50 - 6.50,6,5.5,6.5
,B.2,lmic_un_proc,$5.50 - 6.50,6,5.5,6.5
,C,lmic_un_proc,$6.75 - 7.50,7.125,6.75,7.5
