simulation_index,country,age_testing_strategy,WHO_region,pandemic,time_of_pandemic,total_cost_pand_ngiv,total_cost_epid_ngiv,vaccs_pand_ngiv,vaccs_epid_ngiv,total_cost_pand_base,total_cost_epid_base,vaccs_pand_base,vaccs_epid_base,threshold_cost_pand,threshold_cost_epid,tc_diff,sens_a
1,AGO,2,AFR,1918,1,3106697517.1278462,146764941.19395295,11167849.076355861,11167849.076355861,3552754685.20507,143401053.11976615,22390409.370859757,22390409.370859757,39.941188766742805,-0.301211813589843,40.24240058033265,50% coverage
1,AGO,2,AFR,1918,2,3085373778.0278025,163233231.85303542,13378399.873301271,13378399.873301271,3527521673.5676713,157431798.0224959,29739430.840214662,29739430.840214662,33.04938555635831,-0.4336418320188807,33.48302738837719,50% coverage
1,AGO,2,AFR,1918,3,3068504420.0120707,180176407.00174654,15644206.102377323,15644206.102377323,3555387522.4094014,221648985.1292857,37256372.51671016,37256372.51671016,31.122263361343922,2.6509864326855745,28.471276928658348,50% coverage
1,AGO,2,AFR,1918,4,3071476694.562629,213959771.66571134,17908047.44205513,17908047.44205513,3603898693.820454,303807611.14452785,44868450.773988545,44868450.773988545,29.730879426167306,5.017176761985703,24.713702664181604,50% coverage
1,AGO,2,AFR,1918,5,3060357029.652306,232769401.99316645,20201396.316500068,20201396.316500068,3607378938.6429567,341746000.94089985,52624003.49145651,52624003.49145651,27.078420739850287,5.394508242914063,21.683912496936223,50% coverage
1,AGO,2,AFR,1918,6,3046600596.7700834,248170096.82882327,22526804.767234128,22526804.767234128,3613601754.9482846,383445781.68597776,60531028.84447864,60531028.84447864,25.170065796589153,6.005098648252005,19.164967148337148,50% coverage
1,AGO,2,AFR,1918,7,3034314882.887742,264093438.83328208,24886343.158545267,24886343.158545267,3648978161.890359,470182659.21646315,68597118.34735207,68597118.34735207,24.698818749172432,8.281217496288354,16.417601252884076,50% coverage
1,AGO,2,AFR,1918,8,3023120443.1517677,281092047.26811856,27281980.178140335,27281980.178140335,3650644936.0878167,486488119.5906786,76829615.83667327,76829615.83667327,23.001427639730217,7.528635054398781,15.472792585331437,50% coverage
1,AGO,2,AFR,1918,9,3009899799.4985394,295819452.2729915,29747696.07164118,29747696.07164118,3635429515.5192623,504373126.16803414,85281732.30248006,85281732.30248006,21.027837400054906,7.010750459221589,14.017086940833318,50% coverage
1,AGO,2,AFR,1918,10,2996494656.7307563,310160160.1039829,32221626.901829097,32221626.901829097,3623858910.4513955,526136805.18183744,93869185.8288895,93869185.8288895,19.4702848379461,6.702847306123899,12.7674375318222,50% coverage
1,AGO,2,AFR,1918,11,2982510868.667407,324313355.9896481,34736656.395192176,34736656.395192176,3602611192.7390246,538173345.2566001,102643778.35570775,102643778.35570775,17.851468403200844,6.156608363047629,11.694860040153216,50% coverage
1,AGO,2,AFR,1918,12,2968387482.888996,338297848.8135673,37294859.49993248,37294859.49993248,3613004116.537501,581785888.5310354,111612352.81368954,111612352.81368954,17.284329322910352,6.528729239961581,10.75560008294877,50% coverage
1,AGO,2,AFR,1918,13,2954062542.465333,352106598.2055208,39897855.06691078,39897855.06691078,3593605323.1016374,595548428.2815969,120781531.4297,120781531.4297,16.029502828253744,6.101627008966058,9.927875819287685,50% coverage
1,AGO,2,AFR,1918,14,2939735505.389464,365927938.6811066,42581941.827500515,42581941.827500515,3577099334.065038,612124741.592957,130209209.34211048,130209209.34211048,14.967937142405008,5.781718548890839,9.18621859351417,50% coverage
1,AGO,2,AFR,1918,15,2925310040.9316263,365927938.6811066,45279750.77316025,42581941.827500515,3552617634.977093,612124741.592957,139800225.5741635,130209209.34211048,13.854042553990954,5.437238472120401,8.416804081870552,50% coverage
1,AGO,2,AFR,1918,16,2910499174.4312596,392829742.92822367,48026477.03707782,48026477.03707782,3565391435.1263456,666282769.7057574,149611185.63334358,149611185.63334358,13.6360670425501,5.693797331135076,7.942269711415023,50% coverage
1,AGO,2,AFR,1918,17,2896385146.6991296,406819021.31759477,50824015.388966806,50824015.388966806,3568853441.9877634,702451911.8977404,159648717.96676826,159648717.96676826,13.231309847167594,5.816795235827105,7.414514611340489,50% coverage
1,AGO,2,AFR,1918,18,2881417783.987531,419866008.1003664,53673801.349241726,53673801.349241726,3567133970.5022764,733291225.5843577,169919312.5824651,169919312.5824651,12.775621798295317,5.839445122297439,6.936176675997878,50% coverage
1,AGO,2,AFR,1918,19,2866414417.854401,432903400.2802919,56577243.741650775,56577243.741650775,3550970342.7938757,750276782.553427,180429480.88657138,180429480.88657138,12.099492298800717,5.609558919525318,6.489933379275399,50% coverage
1,AGO,2,AFR,1918,20,2864093669.767142,458214781.4156568,59574411.48973728,59574411.48973728,3589276281.193831,819986500.2353894,191244637.5024772,191244637.5024772,12.172719684383527,6.0726024776938665,6.10011720668966,50% coverage
1,AGO,2,AFR,1918,21,2854693541.512598,476224701.65610784,62589971.80255039,62589971.80255039,3569290147.369768,831964982.6246969,202254806.29942203,202254806.29942203,11.417110205952385,5.683662585610774,5.733447620341611,50% coverage
1,AGO,2,AFR,1918,22,2839649555.3774366,488798969.70755947,65662831.006842606,65662831.006842606,3567172377.1164317,861926137.0787891,213524118.17998168,213524118.17998168,11.079674917811284,5.682471523841954,5.397203393969329,50% coverage
1,AGO,2,AFR,1918,23,2824811803.700207,501176965.21498215,68794843.77296926,68794843.77296926,3562686481.7272377,888546326.8562233,225059484.21565783,225059484.21565783,10.725726487032954,5.630790629012892,5.0949358580200625,50% coverage
1,AGO,2,AFR,1918,24,2809963894.3332543,513410474.9130007,71987379.94622251,71987379.94622251,3544063604.134258,902641828.28938,236867732.2642909,236867732.2642909,10.197616726006776,5.406938739361689,4.790677986645088,50% coverage
1,AGO,2,AFR,1918,25,2795214932.4201055,525516970.55663675,75241803.90806709,75241803.90806709,3530893880.839035,918904132.5830859,248955782.98708135,248955782.98708135,9.777529381376958,5.228305829922718,4.54922355145424,50% coverage
1,AGO,2,AFR,1918,26,2780730324.156582,537780941.6677366,78602814.83048499,78602814.83048499,3508203831.444606,927438351.1235416,261398374.8640472,261398374.8640472,9.255056690487422,4.957295871606393,4.297760818881029,50% coverage
1,AGO,2,AFR,1918,27,2767230765.641579,550348059.7170274,81985842.7353085,81985842.7353085,3529228410.384032,978268048.2038454,274068550.4195084,274068550.4195084,9.29425885396536,5.219437578611696,4.0748212753536635,50% coverage
1,GBR,2,EUR,1918,1,335482963366.72406,14224057858.037775,7326984.114179065,7326984.114179065,374003907349.02594,19934864045.226948,14744473.173328124,14744473.173328124,5257.407875056908,779.4211230972522,4477.9867519596555,50% coverage
1,GBR,2,EUR,1918,2,330535249742.719,19074442291.791943,8659075.035222549,8659075.035222549,371066208605.4305,27559002269.69119,19288423.830525823,19288423.830525823,4680.749236823051,979.8459931790143,3700.903243644037,50% coverage
1,GBR,2,EUR,1918,3,322986416868.0206,19311542137.356033,9991797.103548853,9991797.103548853,366703673464.23553,30565251972.041443,23799201.816554032,23799201.816554032,4375.314684951675,1126.2948714889692,3249.019813462706,50% coverage
1,GBR,2,EUR,1918,4,320808120298.7063,27615417159.10306,11288393.561178258,11288393.561178258,365457309576.1728,40781632564.928894,28229905.877334885,28229905.877334885,3955.3182687587046,1166.3497852436296,2788.9684835150747,50% coverage
1,GBR,2,EUR,1918,5,315140258766.4094,32009385907.600967,12568762.862111181,12568762.862111181,359823853713.0411,46209264255.51204,32609457.405287415,32609457.405287415,3555.1307186589825,1129.7753409539555,2425.355377705027,50% coverage
1,GBR,2,EUR,1918,6,309743381083.0362,36277061749.920395,13833955.133122537,13833955.133122537,354346661662.2295,51408037517.89033,36941158.24401316,36941158.24401316,3224.1886105586673,1093.7563135319087,2130.4322970267585,50% coverage
1,GBR,2,EUR,1918,7,302673973577.8446,38508852150.80205,15084872.726328967,15084872.726328967,350099924054.52295,57467436617.90319,41227998.7428518,41227998.7428518,3143.94104193545,1256.79445965832,1887.14658227713,50% coverage
1,GBR,2,EUR,1918,8,297794931202.369,46600960544.173805,16322345.670162708,16322345.670162708,345064135467.481,67482332624.55573,45472705.575772695,45472705.575772695,2895.9810814152916,1279.3119630196984,1616.6691183955932,50% coverage
1,GBR,2,EUR,1918,9,297493249598.1099,50937941108.08627,17564648.185071543,17564648.185071543,347026337612.5569,73953975138.58371,49701608.18457055,49701608.18457055,2820.044414925764,1310.361231718783,1509.683183206981,50% coverage
1,GBR,2,EUR,1918,10,291520056834.57263,53298107946.79077,18777539.89832733,18777539.89832733,341121769901.2716,77329756415.72728,53869421.322387174,53869421.322387174,2641.5448101972834,1279.8081430825348,1361.7366671147486,50% coverage
1,GBR,2,EUR,1918,11,284679667902.46985,56832367975.74036,19979026.81101108,19979026.81101108,334494547278.68884,83047610162.99399,58001894.357978135,58001894.357978135,2493.3586529231957,1312.138095375375,1181.2205575478206,50% coverage
1,GBR,2,EUR,1918,12,282804279047.5818,60434798323.96501,21169763.456479758,21169763.456479758,333571960904.35724,87401968135.91632,62100935.87662811,62100935.87662811,2398.122301231297,1273.8531475512093,1124.2691536800878,50% coverage
1,GBR,2,EUR,1918,13,276414693703.49335,63799427028.72525,22350289.81108923,22350289.81108923,327391356636.55096,92769677201.36615,66168268.30753141,66168268.30753141,2280.8054554963865,1296.1912537826306,984.6142017137558,50% coverage
1,GBR,2,EUR,1918,14,271532577808.72964,63958882524.40864,23537759.244801745,23537759.244801745,323788619597.86725,94063123792.26743,70228325.38068983,70228325.38068983,2220.0941578871075,1278.976514066743,941.1176438203645,50% coverage
1,GBR,2,EUR,1918,15,266803759682.67264,66246882860.145515,24699382.849593766,24699382.849593766,318809315334.3439,96890342056.78824,74236939.62094617,74236939.62094617,2105.5406917799396,1240.6568772687663,864.8838145111733,50% coverage
1,GBR,2,EUR,1918,16,263115741878.74008,69354515042.53714,25852092.330670454,25852092.330670454,315103000429.2799,100726274398.86623,78218123.95135903,78218123.95135903,2010.9497477255675,1213.5094890988842,797.4402586266833,50% coverage
1,GBR,2,EUR,1918,17,259551401951.41104,72356809733.7383,26996327.44816146,26996327.44816146,311488587863.2691,104398982245.09532,82173088.71052606,82173088.71052606,1923.8611626558545,1186.9085738748959,736.9525887809586,50% coverage
1,GBR,2,EUR,1918,18,257437920965.2625,76589859319.97646,28132433.3099925,28132433.3099925,310109376120.3075,110060540415.06482,86102919.1496856,86102919.1496856,1872.2680180081097,1189.754214513671,682.5138034944387,50% coverage
1,GBR,2,EUR,1918,19,251351930202.33774,76637891155.26077,29260724.746352717,29260724.746352717,304370600112.5121,111124644338.51363,90008603.75993156,90008603.75993156,1811.939737302064,1178.6021529610796,633.3375843409844,50% coverage
1,GBR,2,EUR,1918,20,250585607322.90732,81800190529.15764,30397386.712031364,30397386.712031364,303973811760.99207,117300854324.58339,93913010.76434596,93913010.76434596,1756.341916621193,1167.8853886927884,588.4565279284045,50% coverage
1,GBR,2,EUR,1918,21,244911184749.76624,81847784419.5196,31510960.040098693,31510960.040098693,298677589990.4471,118355641305.29025,97773144.95044103,97773144.95044103,1706.2763296409057,1158.5764711488714,547.6998584920343,50% coverage
1,GBR,2,EUR,1918,22,242211736358.36554,84689710169.72498,32617446.944978006,32617446.944978006,295671573271.96674,121486120425.12769,101611570.65733495,101611570.65733495,1638.9951366758403,1128.1204907752024,510.8746459006379,50% coverage
1,GBR,2,EUR,1918,23,239628575818.7065,87460838604.93935,33717124.53802802,33717124.53802802,293837324477.1582,125581089633.29245,105428986.13757597,105428986.13757597,1607.7512362393804,1130.5902134495188,477.1610227898616,50% coverage
1,GBR,2,EUR,1918,24,235263057929.82272,89793376425.53615,34810191.532793336,34810191.532793336,289633171305.4881,129306208284.25365,109226009.67831826,109226009.67831826,1561.9021608785288,1135.0937791162105,426.8083817623183,50% coverage
1,GBR,2,EUR,1918,25,231885468645.4441,89892417268.34941,35896828.78741524,35896828.78741524,287227670033.674,130235694758.44379,113003203.45389593,113003203.45389593,1541.7016839000514,1123.8674516072565,417.8342322927949,50% coverage
1,GBR,2,EUR,1918,26,228739034254.62778,91578227093.88976,36992501.64267128,36992501.64267128,283866116346.86707,132222406524.42276,116782332.358921,116782332.358921,1490.2231437262292,1098.7139994784638,391.50914424776533,50% coverage
1,GBR,2,EUR,1918,27,224112564245.74557,91614937027.5161,38066830.42208807,38066830.42208807,280022386557.41125,133546134239.22511,120521470.81754658,120521470.81754658,1468.7280682876162,1101.5153283520729,367.21273993554337,50% coverage
1,AGO,2,AFR,1918,1,3344018502.4646583,114584872.75898324,4425775.488414834,4425775.488414834,3534037669.1206617,124684037.03535236,8854590.63213839,8854590.63213839,42.934660186312804,2.2818971054463293,40.65276308086648,20% coverage
1,AGO,2,AFR,1918,2,3320309316.3023925,129197176.75980651,5294037.549915085,5294037.549915085,3502949240.1363254,132859364.59115686,11705759.445204038,11705759.445204038,34.499174233636175,0.6917570562772231,33.80741717735895,20% coverage
1,AGO,2,AFR,1918,3,3322266730.6481304,166463765.5752473,6182549.024944045,6182549.024944045,3524972189.0753837,191233651.79527456,14599816.661583535,14599816.661583535,32.78671266647786,4.006419701662042,28.780292964815818,20% coverage
1,AGO,2,AFR,1918,4,3344862120.8774953,221867938.5711236,7068657.003189684,7068657.003189684,3567712769.039869,267621686.36395434,17509250.691504624,17509250.691504624,31.52658957165607,6.472763888838384,25.05382568281769,20% coverage
1,AGO,2,AFR,1918,5,3327828321.8687916,237485140.5064562,7964987.6606855625,7964987.6606855625,3565461343.1713295,299828405.46927834,20453748.21460522,20453748.21460522,29.834700494951473,7.827164035738899,22.007536459212574,20% coverage
1,AGO,2,AFR,1918,6,3314624081.5036597,256906748.83309865,8872465.817429991,8872465.817429991,3565988938.9707565,335832965.7084538,23436900.056378003,23436900.056378003,28.330890491940767,8.895634933899016,19.435255558041753,20% coverage
1,AGO,2,AFR,1918,7,3326048740.5160985,301949084.9214094,9791907.757792903,9791907.757792903,3595704495.100032,416908992.4261297,26462006.42280305,26462006.42280305,27.53863304822571,11.740297227905284,15.798335820320425,20% coverage
1,AGO,2,AFR,1918,8,3315246355.2686186,320023689.72487724,10724086.037877813,10724086.037877813,3591742955.182526,427586138.68538445,29532134.652685307,29532134.652685307,25.782765910056366,10.02998750481796,15.752778405238406,20% coverage
1,AGO,2,AFR,1918,9,3290080244.119925,325975781.10439265,11682250.642430618,11682250.642430618,3570899555.5440483,439843166.192813,32667328.17329755,32667328.17329755,24.038117313128954,9.747041779333797,14.291075533795157,20% coverage
1,AGO,2,AFR,1918,10,3264834171.692008,331856022.15250564,12642148.400091099,12642148.400091099,3553760286.3210692,456038181.05150235,35836067.6898543,35836067.6898543,22.854194199063446,9.822868310745495,13.031325888317951,20% coverage
1,AGO,2,AFR,1918,11,3246226853.1129484,344501249.9091702,13616812.6222823,13616812.6222823,3526972368.6748486,462534521.19241583,39057913.9258338,39057913.9258338,20.61756472307575,8.668201183153403,11.949363539922345,20% coverage
1,AGO,2,AFR,1918,12,3228505487.2090807,357983994.36801887,14606944.55177206,14606944.55177206,3531852363.200232,500634135.1937639,42335312.0312647,42335312.0312647,20.767305230466587,9.76591239325539,11.001392837211197,20% coverage
1,AGO,2,AFR,1918,13,3210284824.4702296,370942160.03403306,15613155.3306967,15613155.3306967,3506966973.388578,508910078.56852984,45670579.14363244,45670579.14363244,19.002062211925075,8.836645483391877,10.165416728533199,20% coverage
1,AGO,2,AFR,1918,14,3184721139.6676507,376515851.79983443,16649483.355846915,16649483.355846915,3484970077.5120187,519995485.03994,49084607.22208896,49084607.22208896,18.03352881450988,8.617662793105158,9.415866021404721,20% coverage
1,AGO,2,AFR,1918,15,3158937907.292692,376515851.79983443,17689685.177464645,16649483.355846915,3455051362.6480613,519995485.03994,52542356.0885223,49084607.22208896,16.739328732237464,8.110920674998107,8.628408057239357,20% coverage
1,AGO,2,AFR,1918,16,3151795348.559673,405618944.331602,18747601.604296025,18747601.604296025,3462412541.106599,563303875.6860155,56064394.50805949,56064394.50805949,16.56836960284818,8.410938886085562,8.157430716762617,20% coverage
1,AGO,2,AFR,1918,17,3135620320.721845,420340968.7521536,19823837.383565865,19823837.383565865,3460485685.5143247,594084155.4242994,59652771.1877294,59652771.1877294,16.387612474151737,8.764356936068312,7.623255538083425,20% coverage
1,AGO,2,AFR,1918,18,3122214798.793242,437704801.14013255,20918914.971083347,20918914.971083347,3453400659.7454596,619557914.827532,63309467.24477132,63309467.24477132,15.831885229708266,8.693238341413924,7.138646888294343,20% coverage
1,AGO,2,AFR,1918,19,3098282582.7075796,444747744.795915,22033345.366919354,22033345.366919354,3431894403.1494875,631200842.9090341,67036426.47821147,67036426.47821147,15.141224125810208,8.462314505951419,6.678909619858789,20% coverage
1,AGO,2,AFR,1918,20,3113101626.5961194,489648351.5667727,23182499.74442934,23182499.74442934,3464851253.089497,695561472.1310502,70856430.63144204,70856430.63144204,15.173067200309221,8.882265624256402,6.29080157605282,20% coverage
1,AGO,2,AFR,1918,21,3087839775.404358,494554106.7076745,24337232.232768647,24337232.232768647,3439566670.12339,702241505.3783058,74729800.8480659,74729800.8480659,14.45221425982256,8.533731226470053,5.918483033352507,20% coverage
1,AGO,2,AFR,1918,22,3064707906.058228,501678853.43948257,25512723.63844339,25512723.63844339,3432172700.395649,726926460.3579841,78679079.868853793,78679079.868853793,14.403197382803661,8.828834197031444,5.574363185772217,20% coverage
1,AGO,2,AFR,1918,23,3046386158.940697,513001946.6502434,26709534.557769623,26709534.557769623,3422432542.2702613,748292387.399228,82706158.19041084,82706158.19041084,14.07910656459473,8.809230285914518,5.269876278680211,20% coverage
1,AGO,2,AFR,1918,24,3025633329.828964,521859168.18777186,27928145.847275533,27928145.847275533,3398577160.739079,757155384.8941828,86812896.10141169,86812896.10141169,13.353691038049934,8.425056858164636,4.928634179885298,20% coverage
1,AGO,2,AFR,1918,25,3001876851.490117,527410429.0710285,29169035.95260398,29169035.95260398,3380196543.8856034,768206795.6296363,91001152.59865475,91001152.59865475,12.96990730205168,8.255204832613313,4.714702469438368,20% coverage
1,AGO,2,AFR,1918,26,2977430204.3060308,532325864.23743474,30449230.483252518,30449230.483252518,3352288740.488081,771523260.1669959,95296245.21744584,95296245.21744584,12.310936277625387,7.855613824497893,4.455322453127494,20% coverage
1,AGO,2,AFR,1918,27,2978101218.325162,561427796.6173633,31736221.006199267,31736221.006199267,3368144572.743017,817184210.562814,99653316.96303922,99653316.96303922,12.290163795546587,8.05881752258695,4.231346272959637,20% coverage
1,GBR,2,EUR,1918,1,358314065108.541,17506697453.746788,2923181.6852580262,2923181.6852580262,373875796261.93146,19806752958.13306,5878783.783732012,5878783.783732012,5323.559336687902,786.8328937560543,4536.7264429318475,20% coverage
1,GBR,2,EUR,1918,2,354602902805.04266,24010770802.49377,3453327.9564844137,3453327.9564844137,370900819034.89325,27393612699.15371,7680445.14140282,7680445.14140282,4719.481159977151,979.5889470352444,3739.8922129419066,20% coverage
1,GBR,2,EUR,1918,3,348509957904.07434,25456734286.617477,3983499.450064816,3983499.450064816,366502303486.98303,30363881994.790268,9465019.192033809,9465019.192033809,4516.718480434568,1231.8685541912014,3284.8499262433666,20% coverage
1,GBR,2,EUR,1918,4,347287455190.8623,35301263877.931496,4499050.761818927,4499050.761818927,365221580503.1185,40545903491.87495,11214264.478123736,11214264.478123736,3986.202037206092,1165.7213691501202,2820.480668055972,20% coverage
1,GBR,2,EUR,1918,5,341638859905.8891,40311829684.624466,5007961.147080713,5007961.147080713,359555110530.9162,45940521073.3887,12940027.874296632,12940027.874296632,3577.5538385458535,1123.948693580693,2453.6051449651604,20% coverage
1,GBR,2,EUR,1918,6,336189447563.452,45131330979.86825,5510646.130306453,5510646.130306453,354046179613.4652,51107555469.1271,14643910.02727396,14643910.02727396,3240.4062296448255,1084.4870724672182,2155.9191571776073,20% coverage
1,GBR,2,EUR,1918,7,330512423602.3006,49356141802.0148,6007477.934678063,6007477.934678063,349768913990.9334,57136426554.31577,16327357.376176475,16327357.376176475,3205.420077779238,1295.1000131668254,1910.3200646124126,20% coverage
1,GBR,2,EUR,1918,8,325848969305.51874,58934910562.607475,6498798.997095238,6498798.997095238,344703748516.5327,67121945673.60818,17991681.128645908,17991681.128645908,2901.271330201392,1259.7766317530443,1641.494698448348,20% coverage
1,GBR,2,EUR,1918,9,326999636450.2689,64619026296.83713,6991879.467982794,6991879.467982794,346637509164.94446,73565146690.9728,19647416.51362769,19647416.51362769,2808.668656918538,1279.501518168574,1529.1671387499641,20% coverage
1,GBR,2,EUR,1918,10,321085040299.47845,67603508361.1127,7473110.472400937,7473110.472400937,340705702985.1133,76913689499.57014,21276973.035322223,21276973.035322223,2625.501490724138,1245.824101335183,1379.677389388955,20% coverage
1,GBR,2,EUR,1918,11,314360920223.836,72436768964.1476,7949688.792377325,7949688.792377325,334052238012.6223,82605300896.92867,22890651.842940696,22890651.842940696,2476.992282725284,1279.1106920476325,1197.8815906776515,20% coverage
1,GBR,2,EUR,1918,12,313026517096.8735,76455626985.36806,8421867.893126108,8421867.893126108,333104360244.1762,86934367475.73622,24489347.98137497,24489347.98137497,2384.013071932675,1244.2299764546137,1139.7830954780611,20% coverage
1,GBR,2,EUR,1918,13,306761599109.05676,81014296313.22075,8889870.303936465,8889870.303936465,326899373450.3534,92277694015.16986,26073872.242699053,26073872.242699053,2265.2495090259704,1266.9923538661346,998.2571551598357,20% coverage
1,GBR,2,EUR,1918,14,302533109685.19257,81743388363.24744,9360505.807624923,9360505.807624923,323272990232.87317,93547494427.27493,27653866.00804984,27653866.00804984,2215.679470097248,1261.0542962766024,954.6251738206458,20% coverage
1,GBR,2,EUR,1918,15,297732130055.4213,84430796705.17627,9820760.837595029,9820760.837595029,318271004308.0687,96352031030.51288,29212211.403084245,29212211.403084245,2091.373020104733,1213.8809326972632,877.4920874074696,20% coverage
1,GBR,2,EUR,1918,16,294032963905.11847,87973725993.7825,10277389.281221084,10277389.281221084,314542805623.34155,100166079592.92899,30758398.132682994,30758398.132682994,1995.6276012332048,1186.3278956869365,809.2997055462683,20% coverage
1,GBR,2,EUR,1918,17,290437900647.9295,91375743836.18916,10730556.7118031,10730556.7118031,310907274219.17084,103817668600.99759,32292984.338220786,32292984.338220786,1907.577968319761,1159.4854860720231,748.092482247738,20% coverage
1,GBR,2,EUR,1918,18,288784506674.2915,96483598589.9675,11180405.221528921,11180405.221528921,309507677679.01025,109458841973.76851,33816474.98682942,33816474.98682942,1853.52593167324,1160.5342674714473,692.9916642017927,20% coverage
1,GBR,2,EUR,1918,19,282840607552.3603,97073231714.5702,11627064.494497238,11627064.494497238,303749221712.17505,110503265938.17859,35329329.431362525,35329329.431362525,1798.2711087317196,1155.066631819617,643.2044769121026,20% coverage
1,GBR,2,EUR,1918,20,282370513108.28577,102916602971.79897,12076947.613563342,12076947.613563342,303333323148.9789,116660365712.57256,36840472.75730729,36840472.75730729,1735.7705532439559,1138.0162587886268,597.754294455329,20% coverage
1,GBR,2,EUR,1918,21,276913742429.5186,103557181227.1658,12517584.793094113,12517584.793094113,298018748922.1766,117696800237.02167,38333289.39397322,38333289.39397322,1686.0286422266922,1129.5804457147851,556.4481965119071,20% coverage
1,GBR,2,EUR,1918,22,274014936369.56128,106555385626.16383,12955347.724002058,12955347.724002058,294995006191.9814,120809553345.14401,39816608.978935204,39816608.978935204,1619.4138721225397,1100.2535804246943,519.1602916978454,20% coverage
1,GBR,2,EUR,1918,23,271923290891.78052,110161283248.17682,13390335.614100875,13390335.614100875,293143634130.3259,124887399286.46179,41290748.990923576,41290748.990923576,1584.7506627241694,1099.757053346552,484.9936093776173,20% coverage
1,GBR,2,EUR,1918,24,267650624195.12997,113320549540.94656,13822630.21195623,13822630.21195623,288922938008.83765,128595974987.605,42755995.48647988,42755995.48647988,1538.948339608163,1105.1026622592833,433.8456773488797,20% coverage
1,GBR,2,EUR,1918,25,264810417901.79718,113873518583.77097,14252305.990638921,14252305.990638921,286501452734.22107,129509477458.99321,44212608.574767105,44212608.574767105,1521.9315980635563,1097.0827377332569,424.84886033029943,20% coverage
1,GBR,2,EUR,1918,26,261538496343.67297,115741838388.3205,14685482.044966366,14685482.044966366,283124366311.5618,131480656489.11908,45669019.514908694,45669019.514908694,1469.8782036431473,1071.72635209433,398.1518515488174,20% coverage
1,GBR,2,EUR,1918,27,257197558138.38846,116364810489.51802,15110129.059874138,15110129.059874138,279265709620.56824,132789457302.3841,47109072.022824585,47109072.022824585,1460.487292645507,1086.9957991611545,373.49149348435253,20% coverage
1,AGO,2,AFR,1918,1,3046933746.460303,159218105.60078317,13394095.006225541,13394095.006225541,3558166931.6554832,148813299.57018197,26302203.246092126,26302203.246092126,38.168550018314825,-0.7768203843384026,38.945370402653225,70% coverage
1,AGO,2,AFR,1918,2,3026052530.552259,179213297.91749132,16093453.244594218,16093453.244594218,3534593967.0822864,164504091.53712484,34926393.84345477,34926393.84345477,31.59927386627517,-0.9139869583494946,32.513260824624666,70% coverage
1,AGO,2,AFR,1918,3,3011207827.236379,199119839.20284346,18846597.056936424,18846597.056936424,3564103832.5237007,230365295.2435947,43744076.48514691,43744076.48514691,29.33664913708282,1.6578831683171933,27.678765968765624,70% coverage
1,AGO,2,AFR,1918,4,3003652352.7752795,221848339.34362203,21603258.727435037,21603258.727435037,3614246528.205704,314155445.529774,52685737.51398775,52685737.51398775,28.26398475962338,4.272832508779181,23.9911522508442,70% coverage
1,AGO,2,AFR,1918,5,3003298125.5536633,251110126.834394,24392246.16108112,24392246.16108112,3619345213.81334,353712276.111279,61799777.73094571,61799777.73094571,25.255857299546552,4.206342810716266,21.049514488830287,70% coverage
1,AGO,2,AFR,1918,6,2993628286.2193184,269698451.39918315,27217895.134095643,27217895.134095643,3627175204.971418,397019231.7090983,71096305.78612012,71096305.78612012,23.276852072167046,4.677833450479475,18.59901862168757,70% coverage
1,AGO,2,AFR,1918,7,2984694691.1459093,287952873.15645534,30083332.969607633,30083332.969607633,3664148726.432787,485353223.7588846,80584624.68234643,80584624.68234643,22.585729977902098,6.5617845868959215,16.023945391006176,70% coverage
1,AGO,2,AFR,1918,8,2975620699.403837,305896638.8941566,32991237.96538842,32991237.96538842,3667403637.806739,503246821.3095829,90273783.79755023,90273783.79755023,20.96868687160697,5.981896848565343,14.986790023041626,70% coverage
